first,second
"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",4220
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",179
"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",126
"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",112
"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",80
"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]",78
"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",34
"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",23
"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",22
"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",21
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",20
"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]",19
"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",16
"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",14
"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",13
"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",12
"[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",11
