x1,x2,x3,x4,x5,x6
false,false,false,false,false,true
true,false,false,false,false,true
false,false,false,false,false,true
false,false,false,false,false,true
true,false,true,true,false,false
true,false,false,false,false,true
false,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,true
false,false,false,false,false,true
false,false,false,false,true,true
false,false,false,true,false,true
false,false,false,false,false,true
false,false,false,false,false,true
false,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,true
false,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,true
false,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,false
true,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,true
true,false,false,true,false,true
true,false,true,false,false,true
true,false,false,false,false,false
false,false,false,false,false,true
true,false,false,false,false,true
false,false,false,false,false,true
true,false,false,false,false,true
false,false,false,false,false,true
false,false,false,false,false,true
false,false,false,false,false,true
false,false,false,false,false,true
false,true,false,false,false,true
true,false,false,false,true,true
false,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,true,true
false,false,false,false,false,true
false,false,false,false,false,true
true,true,false,true,false,false
false,false,true,false,true,true
false,false,false,false,false,true
false,false,false,false,false,true
false,true,true,false,false,true
true,false,false,false,true,true
true,false,false,false,false,true
false,false,false,false,false,true
true,false,false,false,false,true
false,false,false,false,false,false
true,false,true,true,true,false
false,false,false,false,true,true
false,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,false
false,true,true,false,false,true
true,false,false,false,false,true
false,false,false,false,false,true
false,false,false,false,false,true
true,false,false,false,false,true
false,false,false,false,false,true
true,false,false,true,false,true
false,false,false,false,false,true
false,false,false,false,false,true
false,false,true,false,false,true
false,true,false,false,true,true
false,false,false,false,false,true
false,false,true,false,false,false
true,false,false,false,false,true
false,false,false,false,false,true
false,false,false,true,false,true
true,false,false,false,false,true
true,false,false,false,true,false
true,false,false,true,false,true
true,false,false,true,false,true
false,false,false,false,false,true
false,false,false,false,false,true
false,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,true
true,false,true,false,true,false
false,false,false,false,false,true
true,false,false,false,false,true
true,true,false,true,true,false
false,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,true
true,false,false,false,false,true
true,false,false,true,true,false
true,false,false,false,false,true
false,true,false,false,false,true
true,false,false,false,false,true
false,false,false,false,false,true
