g1,g2,g3,g4,g5,g6,method,id,N0
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,true,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,true,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,true,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,true,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,true,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,true,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,true,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,true,false,freq,1,50
true,true,true,false,true,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,true,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,true,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,true,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,true,freq,1,50
true,true,false,false,false,true,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,true,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,true,false,false,true,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,true,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,true,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,true,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,true,false,false,false,freq,1,50
true,true,false,true,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
true,true,true,false,false,false,freq,1,50
true,true,false,false,false,false,freq,1,50
