g1,g2,g3,g4,g5,g6,method,id,N0
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,true,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,true,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,true,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,true,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,true,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,true,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
true,true,true,false,false,false,freq,2,200
