first,second
"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",12765
"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",1269
"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",1149
"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]",1030
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",939
"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",769
"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",687
"[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",309
"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",172
"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",161
"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]",159
"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",128
"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",120
"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",117
"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",96
"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",86
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",40
"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]",3
"[0.0, 1.0, 0.0, 0.0, 1.0, 1.0]",1
