"x2","x3","x4","x5","x6","NA","NA","NA","NA","NA"
0,1,1,1,1,1,1,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
1,0,1,1,1,1,0,1,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,1,0,0
0,1,1,1,1,1,0,1,0,0
0,1,1,1,1,1,1,0,0,0
0,1,1,1,1,1,1,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
1,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,1,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,1,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
1,0,1,1,1,1,0,0,0,0
0,0,1,0,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
1,0,1,1,1,1,0,0,0,0
1,0,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,1,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,1,0,0
1,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,1,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,1,0,0
0,0,1,1,1,1,1,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
1,0,1,1,1,1,1,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
1,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,1,0,0
0,0,1,1,1,1,0,1,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
1,0,1,1,1,1,1,1,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,1,0,0
0,1,1,1,1,1,0,1,0,0
1,0,1,1,1,1,0,0,0,0
1,0,1,1,1,1,0,0,0,0
